parcela,HTR1A,HTR2A,HTR2C,DRD1,DRD2,DRD3,SLC6A4,SLC6A2,SLC6A3,CHRM1,HRH1,OPRK1,OPRM1
P001,-0.3934,-0.3344,-0.1606,0.1290,-0.3291,0.2224,-0.4777,-0.1722,-0.2964,-0.4970,0.3349,0.4726,-0.1608
P002,1.2577,0.1700,-1.4906,-0.5532,-0.9235,1.3651,0.5210,0.6455,0.1542,0.5702,0.0733,-0.0394,1.3740
P003,-0.4727,-0.2394,-0.2145,-0.3005,-0.2551,-0.5376,-1.4978,0.8944,-1.4674,-1.6484,0.2858,1.4051,-1.1833
P004,-0.3701,-0.9570,0.3356,-0.1175,-0.5851,-0.0392,-0.6114,-0.5574,-0.7143,-0.5150,-0.2350,0.1504,0.0902
P005,0.3407,0.6122,-0.0917,0.3108,0.4946,0.2054,0.8881,-0.3341,0.9609,0.6792,0.1391,-0.5180,0.3056
P006,0.4517,1.8960,0.1158,-0.2688,0.9744,0.3948,1.2763,-0.1515,1.2826,1.1072,1.5531,-0.5999,0.2962
P007,3.3905,0.0010,-3.2729,-0.9582,-1.1357,2.0486,1.5246,2.1339,0.5466,1.8330,0.2308,-0.5500,2.9821
P008,0.8185,0.6094,-0.0780,0.3515,0.7669,-0.0613,1.2833,-0.5560,1.1848,0.9798,-0.3829,-1.0323,0.4324
P009,1.1310,2.0252,-2.1911,-1.3034,-0.9371,2.3218,0.0257,1.2186,0.3247,0.2198,1.8174,1.0198,0.9193
P010,-0.0026,-0.6350,-0.0795,0.1186,-0.4299,0.2663,-0.0172,-0.3947,-0.0701,-0.0202,-0.3311,-0.0941,0.3945
P011,1.7912,-0.2096,-1.7449,-0.7224,-1.3195,1.4669,0.6461,1.0143,-0.0428,0.8373,-0.4506,-0.2534,1.9501
P012,0.1406,0.2784,-0.6180,-1.3255,-1.0618,0.7368,-1.0733,1.1726,-1.5150,-1.0667,-0.1542,0.9119,-0.0704
P013,-0.3453,-0.1797,-0.3565,-0.2760,-0.4594,0.0934,-1.0591,0.4112,-0.9853,-1.1338,0.3841,1.0078,-0.5867
P014,-0.4167,-0.5448,0.0816,0.3081,-0.2294,0.0817,-0.2680,-0.4340,-0.1056,-0.2826,0.0414,0.1784,-0.0410
P015,-0.1297,-1.7500,1.1195,0.2664,-0.4184,-0.6156,-0.1099,-1.3616,-0.2524,0.0637,-1.3480,-0.7473,0.4620
P016,0.3110,-0.5408,0.2384,-1.5025,-1.4013,0.5069,-0.7994,0.1833,-1.5550,-0.4643,-0.5260,0.1038,0.7399
