parcela,x,y,z,network,gradient1
P001,0.0,16.4,-8.2,default,-0.3992
P002,-31.2,-25.0,-29.7,salience,0.8924
P003,2.1,73.7,-14.8,frontoparietal,-1.6786
P004,-21.7,26.9,10.7,dorsattn,-0.3302
P005,3.7,-51.2,-0.9,limbic,0.8110
P006,24.3,-73.9,-13.7,visual,0.8177
P007,-66.5,-70.9,-55.3,somatomotor,1.2969
P008,-8.2,-69.7,8.1,default,1.0696
P009,5.5,-10.3,-75.5,salience,0.5692
P010,-18.9,-2.7,3.4,frontoparietal,0.2883
P011,-53.6,-26.3,-29.4,dorsattn,1.1744
P012,-28.3,58.3,-24.2,limbic,-0.8374
P013,-1.1,48.6,-17.5,visual,-1.0765
P014,-3.9,6.1,1.9,somatomotor,-0.1328
P015,-42.9,4.2,40.8,default,0.6465
P016,-54.2,47.3,3.6,salience,-0.1561
P017,-22.5,110.0,22.9,frontoparietal,-2.3914
P018,-42.0,4.1,17.3,dorsattn,0.5634
P019,-6.6,37.6,-2.0,limbic,-0.8099
P020,23.4,79.1,-20.3,visual,-1.9651
P021,7.1,-25.5,3.8,somatomotor,0.3734
P022,-41.6,-31.9,-5.9,default,1.1241
P023,31.5,63.0,-39.7,salience,-1.5516
P024,-27.8,35.6,-59.8,frontoparietal,-0.1678
P025,-16.2,-5.4,37.7,dorsattn,0.3304
P026,24.1,-18.0,-11.1,limbic,0.0691
P027,-8.8,83.8,-12.8,visual,-1.7567
P028,-10.6,19.4,-3.6,somatomotor,-0.3194
P029,-6.9,-61.3,-0.3,default,1.0086
P030,-15.5,64.1,19.6,salience,-1.3566
P031,-0.8,36.8,-10.2,frontoparietal,-0.8474
P032,36.8,-0.3,17.5,dorsattn,-0.5643
P033,-45.2,19.1,-50.6,limbic,0.3597
P034,-71.2,-16.7,-27.0,visual,1.2929
P035,5.7,123.5,-25.0,somatomotor,-2.4981
P036,-21.8,11.3,14.8,default,0.0320
P037,-6.2,-11.3,21.1,salience,0.2692
P038,18.2,-56.9,-2.4,frontoparietal,0.7301
P039,1.2,-58.0,7.8,dorsattn,0.9034
P040,-30.0,53.5,5.8,limbic,-0.7951
P041,3.1,-32.5,-3.6,visual,0.5583
P042,-69.9,-62.2,10.9,somatomotor,1.7554
P043,-74.5,46.6,-52.4,default,0.2918
P044,26.5,-46.5,23.4,salience,0.4877
P045,4.6,-84.5,37.5,frontoparietal,1.0150
P046,50.5,-3.6,-8.2,dorsattn,-0.5203
P047,-5.6,-53.6,33.0,limbic,0.9828
P048,-19.0,-2.8,-23.8,visual,0.3385
P049,-21.9,-70.3,37.7,somatomotor,1.3257
P050,-5.4,53.1,0.4,default,-1.2001
P051,-24.3,-18.0,-16.8,salience,0.6782
P052,0.3,-20.6,-9.0,frontoparietal,0.3925
P053,-48.3,-44.4,49.6,dorsattn,1.6218
P054,-23.5,-58.0,10.1,limbic,1.1862
P055,49.3,-80.0,-6.3,visual,0.6547
P056,-22.1,-96.9,22.0,somatomotor,1.1205
P057,-0.8,3.9,-22.6,default,-0.0508
P058,15.9,-29.7,-4.3,salience,0.3629
P059,-38.8,-66.9,40.1,frontoparietal,1.5586
P060,-17.7,16.0,-1.0,dorsattn,-0.1331
P061,-15.4,-27.9,18.9,limbic,0.7290
P062,-10.6,-8.3,0.7,visual,0.2804
P063,41.2,37.4,11.5,somatomotor,-1.4829
P064,-19.7,-76.0,28.5,default,1.2618
P065,33.8,-7.7,16.3,salience,-0.3534
P066,27.4,45.7,27.6,frontoparietal,-1.5800
P067,-15.9,83.3,-37.4,dorsattn,-1.4728
P068,30.2,27.2,26.2,limbic,-1.1665
P069,65.8,81.6,-34.4,visual,-2.0200
P070,-59.1,44.9,-30.5,somatomotor,0.0237
P071,-0.4,46.2,-49.3,default,-0.8124
P072,-73.8,14.3,1.3,salience,0.9497
P073,-8.6,2.1,-25.8,frontoparietal,0.1040
P074,-53.0,-9.2,-29.2,dorsattn,0.9349
P075,-57.5,27.8,-1.8,limbic,0.3435
P076,14.2,-54.4,-19.7,visual,0.7830
P077,-35.0,-48.8,5.9,somatomotor,1.2461
P078,-27.4,19.6,10.2,default,-0.0553
P079,70.9,-76.6,26.6,salience,0.4319
P080,-3.1,-0.8,-43.5,frontoparietal,0.1889
P081,-16.1,40.9,-2.5,dorsattn,-0.7297
P082,2.8,-16.0,34.6,limbic,0.2391
P083,-0.8,-121.0,-20.8,visual,0.3438
P084,-68.9,-178.8,-15.9,somatomotor,-2.8537
P085,46.7,2.6,-35.2,default,-0.4312
P086,-32.9,62.2,4.7,salience,-0.9443
P087,1.7,-2.9,1.2,frontoparietal,-0.0123
P088,28.2,30.4,6.5,dorsattn,-1.1575
P089,-36.5,28.1,-20.5,limbic,-0.0435
P090,38.3,-69.9,-4.1,visual,0.6775
P091,-0.3,-72.9,51.7,somatomotor,1.1154
P092,51.1,-25.5,23.2,default,-0.1575
P093,13.3,-143.7,7.5,salience,-0.4360
P094,-2.1,4.6,-32.3,frontoparietal,-0.0001
P095,-9.4,-9.8,35.6,dorsattn,0.3057
P096,11.7,-0.3,45.9,limbic,-0.2424
P097,-19.4,-21.4,-54.5,visual,0.7962
P098,54.9,53.0,27.5,somatomotor,-2.0068
P099,23.4,6.1,6.5,default,-0.5228
P100,-8.8,-11.2,1.6,salience,0.3123
